id_bo_luat,toi_danh,dieu,khoan,noi_dung,nhan_dieu_luat,muc_hinh_phat,muc_hinh_phat_cao_nhat,phan_loai_toi_pham,thoi_han_dieu_tra,gia_han_dieu_tra_1,gia_han_dieu_tra_2,gia_han_dieu_tra_3,thoi_han_dieu_tra_bo_sung_vks,thoi_han_dieu_tra_bo_sung_ta,thoi_hieu,thoi_han_tam_giam,gia_han_tam_giam_1,gia_han_tam_giam_2,gia_han_tam_giam_3,gia_han_tam_giam_4
189_2,"Vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",189,2,"2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 02 năm đến 05 năm: a) có tổ chức; b) vật phạm pháp trị giá từ 300.000.000 đồng đến dưới 500.000.000 đồng; c) vật phạm pháp là bảo vật quốc gia; d) lợi dụng chức vụ, quyền hạn; đ) lợi dụng danh nghĩa cơ quan, tổ chức; e) phạm tội 02 lần trở lên; g) tái phạm nguy hiểm.","Khoản 2, Điều 189 - Vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",Phạt tiền từ 200000000 đồng đến 1000000000 đồng; Tù từ 02 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
189_3,"Vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",189,3,"3. phạm tội trong trường hợp vật phạm pháp trị giá 500.000.000 đồng trở lên, thì bị phạt tiền từ 1.000.000.000 đồng đến 3.000.000.000 đồng hoặc phạt tù từ 05 năm đến 10 năm.","Khoản 3, Điều 189 - Vận chuyển trái phép hàng hóa, tiền tệ qua biên giới",Phạt tiền từ 1000000000 đồng đến 3000000000 đồng; Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
190_1,"Sản xuất, buôn bán hàng cấm",190,1,"1. người nào thực hiện một trong các hành vi sau đây, nếu không thuộc trường hợp quy định tại các điều 232, 234, 244, 246, 248, 251, 253, 254, 304, 305, 306, 309 và 311 của bộ luật này, thì bị phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm: a) sản xuất, buôn bán thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng từ 50 kilôgam đến dưới 100 kilôgam hoặc từ 50 lít đến dưới 100 lít; b) buôn bán thuốc lá điếu nhập lậu từ 1.500 bao đến dưới 3.000 bao; c) sản xuất, buôn bán pháo nổ từ 06 kilôgam đến dưới 40 kilôgam; d) sản xuất, buôn bán hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá từ 100.000.000 đồng đến dưới 300.000.000 đồng hoặc thu lợi bất chính từ 50.000.000 đồng đến dưới 200.000.000 đồng; đ) sản xuất, buôn bán hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá từ 200.000.000 đồng đến dưới 500.000.000 đồng hoặc thu lợi bất chính từ 100.000.000 đồng đến dưới 300.000.000 đồng; e) sản xuất, buôn bán hàng hóa dưới mức quy định tại các điểm a, b, c, d và đ khoản này nhưng đã bị xử phạt vi phạm hành chính về một trong các hành vi quy định tại điều này hoặc tại một trong các điều 188, 189, 191, 192, 193, 194, 195, 196 và 200 của bộ luật này hoặc đã bị kết án về một trong các tội này, chưa được xóa án tích mà còn vi phạm.","Khoản 1, Điều 190 - Sản xuất, buôn bán hàng cấm",Phạt tiền từ 100000000 đồng đến 1000000000 đồng; Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
190_2,"Sản xuất, buôn bán hàng cấm",190,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 1.000.000.000 đồng đến 3.000.000.000 đồng hoặc phạt tù từ 05 năm đến 10 năm: a) có tổ chức; b) lợi dụng chức vụ, quyền hạn; c) lợi dụng danh nghĩa cơ quan, tổ chức; d) có tính chất chuyên nghiệp; đ) thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng từ 100 kilôgam đến dưới 300 kilôgam hoặc từ 100 lít đến dưới 300 lít; e) thuốc lá điếu nhập lậu từ 3.000 bao đến dưới 4.500 bao; g) pháo nổ từ 40 kilôgam đến dưới 120 kilôgam; h) hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá từ 300.000.000 đồng đến dưới 500.000.000 đồng hoặc thu lợi bất chính từ 200.000.000 đồng đến dưới 500.000.000 đồng; i) hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá từ 500.000.000 đồng đến dưới 1.000.000.000 đồng hoặc thu lợi bất chính từ 300.000.000 đồng đến dưới 700.000.000 đồng; k) buôn bán qua biên giới, trừ hàng hóa là thuốc lá điếu nhập lậu; l) tái phạm nguy hiểm.","Khoản 2, Điều 190 - Sản xuất, buôn bán hàng cấm",Phạt tiền từ 1000000000 đồng đến 3000000000 đồng; Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
190_3,"Sản xuất, buôn bán hàng cấm",190,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 08 năm đến 15 năm: a) thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng 300 kilôgam trở lên hoặc 300 lít trở lên; b) thuốc lá điếu nhập lậu 4.500 bao trở lên; c) pháo nổ 120 kilôgam trở lên; d) hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá 500.000.000 đồng trở lên hoặc thu lợi bất chính 500.000.000 đồng trở lên; đ) hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá 1.000.000.000 đồng trở lên hoặc thu lợi bất chính 700.000.000 đồng trở lên.","Khoản 3, Điều 190 - Sản xuất, buôn bán hàng cấm",Tù từ 08 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
191_1,"Tàng trữ, vận chuyển hàng cấm",191,1,"1. người nào tàng trữ, vận chuyển hàng cấm thuộc một trong các trường hợp sau đây, nếu không thuộc trường hợp quy định tại các điều 232, 234, 239, 244, 246, 249, 250, 253, 254, 304, 305, 306, 309 và 311 của bộ luật này, thì bị phạt tiền từ 50.000.000 đồng đến 300.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm: a) thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng từ 50 kilôgam đến dưới 100 kilôgam hoặc từ 50 lít đến dưới 100 lít; b) thuốc lá điếu nhập lậu từ 1.500 bao đến dưới 3.000 bao; c) pháo nổ từ 06 kilôgam đến dưới 40 kilôgam; d) hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá từ 100.000.000 đồng đến dưới 300.000.000 đồng hoặc thu lợi bất chính từ 50.000.000 đồng đến dưới 200.000.000 đồng; đ) hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá từ 200.000.000 đồng đến dưới 500.000.000 đồng hoặc thu lợi bất chính từ 100.000.000 đồng đến dưới 300.000.000 đồng; e) hàng hóa dưới mức quy định tại các điểm a, b, c, d và đ khoản này nhưng đã bị xử phạt vi phạm hành chính về một trong các hành vi quy định tại điều này hoặc tại một trong các điều 188, 189, 190, 192, 193, 194, 195, 196 và 200 của bộ luật này hoặc đã bị kết án về một trong các tội này, chưa được xóa án tích mà còn vi phạm.","Khoản 1, Điều 191 - Tàng trữ, vận chuyển hàng cấm",Phạt tiền từ 50000000 đồng đến 300000000 đồng; Tù từ 06 tháng đến 03 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
191_2,"Tàng trữ, vận chuyển hàng cấm",191,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 300.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 02 năm đến 05 năm: a) có tổ chức; b) lợi dụng chức vụ, quyền hạn; c) lợi dụng danh nghĩa cơ quan, tổ chức; d) có tính chất chuyên nghiệp; đ) thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng từ 100 kilôgam đến dưới 300 kilôgam hoặc từ 100 lít đến dưới 300 lít; e) thuốc lá điếu nhập lậu từ 3.000 bao đến dưới 4.500 bao; g) pháo nổ từ 40 kilôgam đến dưới 120 kilôgam; h) hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá từ 300.000.000 đồng đến dưới 500.000.000 đồng hoặc thu lợi bất chính từ 200.000.000 đồng đến dưới 500.000.000 đồng; i) hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá từ 500.000.000 đồng đến dưới 1.000.000.000 đồng hoặc thu lợi bất chính từ 300.000.000 đồng đến dưới 700.000.000 đồng; k) vận chuyển qua biên giới, trừ hàng hóa là thuốc lá điếu nhập lậu; l) tái phạm nguy hiểm.","Khoản 2, Điều 191 - Tàng trữ, vận chuyển hàng cấm",Phạt tiền từ 300000000 đồng đến 1000000000 đồng; Tù từ 02 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
191_3,"Tàng trữ, vận chuyển hàng cấm",191,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm: a) thuốc bảo vệ thực vật mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng 300 kilôgam trở lên hoặc 300 lít trở lên; b) thuốc lá điếu nhập lậu 4.500 bao trở lên; c) pháo nổ 120 kilôgam trở lên; d) hàng hóa khác mà nhà nước cấm kinh doanh, cấm lưu hành, cấm sử dụng trị giá 500.000.000 đồng trở lên hoặc thu lợi bất chính 500.000.000 đồng trở lên; đ) hàng hóa chưa được phép lưu hành, chưa được phép sử dụng tại việt nam trị giá 1.000.000.000 đồng trở lên hoặc thu lợi bất chính 700.000.000 đồng trở lên.","Khoản 3, Điều 191 - Tàng trữ, vận chuyển hàng cấm",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
192_1,"Sản xuất, buôn bán hàng giả",192,1,"1. người nào sản xuất, buôn bán hàng giả thuộc một trong các trường hợp sau đây, nếu không thuộc trường hợp quy định tại các điều 193, 194 và 195 của bộ luật này, thì bị phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 30.000.000 đồng đến dưới 150.000.000 đồng hoặc dưới 30.000.000 đồng nhưng đã bị xử phạt vi phạm hành chính về một trong các hành vi quy định tại điều này hoặc tại một trong các điều 188, 189, 190, 191, 193, 194, 195, 196 và 200 của bộ luật này hoặc đã bị kết án về một trong các tội này, chưa được xóa án tích mà còn vi phạm; b) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 31% đến 60%; c) thu lợi bất chính từ 50.000.000 đồng đến dưới 100.000.000 đồng; d) gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.","Khoản 1, Điều 192 - Sản xuất, buôn bán hàng giả",Phạt tiền từ 100000000 đồng đến 1000000000 đồng; Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
192_2,"Sản xuất, buôn bán hàng giả",192,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm: a) có tổ chức; b) có tính chất chuyên nghiệp; c) lợi dụng chức vụ, quyền hạn; d) lợi dụng danh nghĩa cơ quan, tổ chức; đ) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 150.000.000 đồng đến dưới 500.000.000 đồng; e) thu lợi bất chính từ 100.000.000 đồng đến dưới 500.000.000 đồng; g) làm chết người; h) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể 61% trở lên; i) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%; k) gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng; l) buôn bán qua biên giới; m) tái phạm nguy hiểm.","Khoản 2, Điều 192 - Sản xuất, buôn bán hàng giả",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
192_3,"Sản xuất, buôn bán hàng giả",192,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá 500.000.000 đồng trở lên; b) thu lợi bất chính 500.000.000 đồng trở lên; c) làm chết 02 người trở lên; d) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này 122% trở lên; đ) gây thiệt hại về tài sản 1.500.000.000 đồng trở lên.","Khoản 3, Điều 192 - Sản xuất, buôn bán hàng giả",Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
193_1,"Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",193,1,"1. Người nào sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm, thì bị phạt tù từ 02 năm đến 05 năm.","Khoản 1, Điều 193 - Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",Tù từ 02 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
193_2,"Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",193,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm: a) có tổ chức; b) có tính chất chuyên nghiệp; c) tái phạm nguy hiểm; d) lợi dụng chức vụ, quyền hạn; đ) lợi dụng danh nghĩa cơ quan, tổ chức; e) buôn bán qua biên giới; g) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 150.000.000 đồng đến dưới 500.000.000 đồng; h) thu lợi bất chính từ 100.000.000 đồng đến dưới 500.000.000 đồng; i) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 31% đến 60%; k) gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.","Khoản 2, Điều 193 - Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
193_3,"Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",193,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá 500.000.000 đồng trở lên; b) thu lợi bất chính từ 500.000.000 đồng đến dưới 1.500.000.000 đồng; c) gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng; d) làm chết người; đ) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể 61% trở lên; e) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%.","Khoản 3, Điều 193 - Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",Tù từ 10 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
193_4,"Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",193,4,"4. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 15 năm đến 20 năm hoặc tù chung thân: a) thu lợi bất chính 1.500.000.000 đồng trở lên; b) gây thiệt hại về tài sản 1.500.000.000 đồng trở lên; c) làm chết 02 người trở lên; d) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này 122% trở lên.","Khoản 4, Điều 193 - Sản xuất, buôn bán hàng giả là lương thực, thực phẩm, phụ gia thực phẩm",Tù từ 15 năm đến 20 năm; Tù chung thân,Tù chung thân,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
194_1,"Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",194,1,"1. Người nào sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh, thì bị phạt tù từ 02 năm đến 07 năm.","Khoản 1, Điều 194 - Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",Tù từ 02 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
194_2,"Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",194,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 12 năm: a) có tổ chức; b) có tính chất chuyên nghiệp; c) tái phạm nguy hiểm; d) lợi dụng chức vụ, quyền hạn; đ) lợi dụng danh nghĩa cơ quan, tổ chức; e) buôn bán qua biên giới; g) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 150.000.000 đồng đến dưới 500.000.000 đồng; h) thu lợi bất chính từ 100.000.000 đồng đến dưới 500.000.000 đồng; i) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 31% đến 60%; k) gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.","Khoản 2, Điều 194 - Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",Tù từ 05 năm đến 12 năm,Tù 12 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
194_3,"Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",194,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá 500.000.000 đồng trở lên; b) thu lợi bất chính từ 500.000.000 đồng đến dưới 2.000.000.000 đồng; c) làm chết người; d) gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể 61% trở lên; đ) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%; e) gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng.","Khoản 3, Điều 194 - Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",Tù từ 12 năm đến 20 năm,Tù 20 năm,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
194_4,"Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",194,4,"4. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù 20 năm, tù chung thân hoặc tử hình: a) thu lợi bất chính 2.000.000.000 đồng trở lên; b) làm chết 02 người trở lên; c) gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này 122% trở lên; d) gây thiệt hại về tài sản 1.500.000.000 đồng trở lên.","Khoản 4, Điều 194 - Sản xuất, buôn bán hàng giả là thuốc chữa bệnh, thuốc phòng bệnh",Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
195_1,"Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",195,1,"1. người nào sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 30.000.000 đồng đến dưới 150.000.000 đồng hoặc dưới 30.000.000 đồng nhưng đã bị xử phạt vi phạm hành chính về một trong các hành vi quy định tại điều này hoặc tại một trong các điều 188, 189, 190, 191, 192, 193, 194, 196 và 200 của bộ luật này hoặc đã bị kết án về một trong các tội này, chưa được xóa án tích mà còn vi phạm; b) gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng; c) thu lợi bất chính từ 50.000.000 đồng đến dưới 100.000.000 đồng.","Khoản 1, Điều 195 - Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",Phạt tiền từ 100000000 đồng đến 1000000000 đồng; Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
195_2,"Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",195,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm: a) có tổ chức; b) có tính chất chuyên nghiệp; c) tái phạm nguy hiểm; d) lợi dụng chức vụ, quyền hạn; đ) lợi dụng danh nghĩa cơ quan, tổ chức; e) buôn bán qua biên giới; g) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá từ 150.000.000 đồng đến dưới 500.000.000 đồng; h) gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng; i) thu lợi bất chính từ 100.000.000 đồng đến dưới 500.000.000 đồng.","Khoản 2, Điều 195 - Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
195_3,"Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",195,3,"3. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: a) hàng giả tương đương với số lượng của hàng thật hoặc hàng hóa có cùng tính năng kỹ thuật, công dụng trị giá 500.000.000 đồng trở lên; b) gây thiệt hại về tài sản từ 1.500.000.000 đồng đến dưới 3.000.000.000 đồng; c) thu lợi bất chính từ 500.000.000 đồng đến dưới 2.000.000.000 đồng.","Khoản 3, Điều 195 - Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",Tù từ 10 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
195_4,"Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",195,4,"4. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 15 năm đến 20 năm: a) gây thiệt hại về tài sản 3.000.000.000 đồng trở lên; b) thu lợi bất chính 2.000.000.000 đồng trở lên.","Khoản 4, Điều 195 - Sản xuất, buôn bán hàng giả là thức ăn dùng để chăn nuôi, phân bón, thuốc thú y, thuốc bảo vệ thực vật, giống cây trồng, giống vật nuôi",Tù từ 15 năm đến 20 năm,Tù 20 năm,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
196_1,Đầu cơ,196,1,"1. Người nào lợi dụng tình hình khan hiếm hoặc tạo ra sự khan hiếm giả tạo trong tình hình thiên tai, dịch bệnh, chiến tranh hoặc tình hình khó khăn về kinh tế mua vét hàng hóa thuộc danh mục mặt hàng bình ổn giá hoặc thuộc danh mục hàng hóa được nhà nước định giá nhằm bán lại để thu lợi bất chính thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 30.000.000 đồng đến 300.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm: a) hàng hóa trị giá từ 500.000.000 đồng đến dưới 1.500.000.000 đồng; b) thu lợi bất chính từ 100.000.000 đồng đến dưới 500.000.000 đồng.","Khoản 1, Điều 196 - Đầu cơ",Phạt tiền từ 30000000 đồng đến 300000000 đồng; Tù từ 06 tháng đến 03 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
196_2,Đầu cơ,196,2,"2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 300.000.000 đồng đến 1.500.000.000 đồng hoặc phạt tù từ 03 năm đến 07 năm: a) có tổ chức; b) lợi dụng chức vụ, quyền hạn; c) lợi dụng danh nghĩa cơ quan, tổ chức; d) hàng hóa trị giá từ 1.500.000.000 đồng đến dưới 3.000.000.000 đồng; đ) thu lợi bất chính từ 500.000.000 đồng đến dưới 1.000.000.000 đồng; e) gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội.","Khoản 2, Điều 196 - Đầu cơ",Phạt tiền từ 300000000 đồng đến 1500000000 đồng; Tù từ 03 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
196_3,Đầu cơ,196,3,"3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 1.500.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 07 năm đến 15 năm: a) hàng hóa trị giá 3.000.000.000 đồng trở lên; b) thu lợi bất chính 1.000.000.000 đồng trở lên; c) tái phạm nguy hiểm.","Khoản 3, Điều 196 - Đầu cơ",Phạt tiền từ 1500000000 đồng đến 5000000000 đồng; Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
197_1,Quảng cáo gian dối,197,1,"1. Người nào quảng cáo gian dối về hàng hóa, dịch vụ, đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng hoặc phạt cải tạo không giam giữ đến 03 năm.","Khoản 1, Điều 197 - Quảng cáo gian dối",Phạt tiền từ 10000000 đồng đến 100000000 đồng; Cải tạo không giam giữ đến 03 năm,Cải tạo không giam giữ đến 3 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
